"","sample","experiment","sample_type","sample_perc","args","read_count",".y.","n","statistic","df","p","method","p.adj","lab"
"14","A01",1,"Biofilm","WW30","fosmidomycin",0.0219293480836,"read_count",75,20.0479573934837,8,0.0102,"Kruskal-Wallis",0.0185454545454545,"Kruskal-Wallis: *"
"15","A01",1,"Biofilm","WW30","fusidic_acid",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"16","A01",1,"Biofilm","WW30","glycopeptide",0.00076741487831,"read_count",75,50.0060401002506,8,4.08e-08,"Kruskal-Wallis",3.264e-07,"Kruskal-Wallis: ****"
"17","A01",1,"Biofilm","WW30","mls",0.0350621722231,"read_count",75,30.4295551378446,8,0.000177,"Kruskal-Wallis",0.000416470588235294,"Kruskal-Wallis: ***"
"18","A01",1,"Biofilm","WW30","multidrug",0.732366233012,"read_count",75,48.8275313283208,8,6.86e-08,"Kruskal-Wallis",4.57333333333333e-07,"Kruskal-Wallis: ****"
"19","A01",1,"Biofilm","WW30","multidrug_fluoroquinolone_multidrug",0.000563418518253,"read_count",75,14.4788998673242,8,0.0701,"Kruskal-Wallis",0.107846153846154,"Kruskal-Wallis: ns"
"20","A01",1,"Biofilm","WW30","mupirocin",0.000108667145854,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"21","A01",1,"Biofilm","WW30","nitroimidazole",0.00340326082632,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"22","A01",1,"Biofilm","WW30","nucleoside",0,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"23","A01",1,"Biofilm","WW30","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"24","A01",1,"Biofilm","WW30","peptide",0.00406856151206,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"25","A01",1,"Biofilm","WW30","peptide_polymyxin",0,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"26","A01",1,"Biofilm","WW30","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"27","A01",1,"Biofilm","WW30","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"28","A01",1,"Biofilm","WW30","peptide_polymyxin_peptide_polymyxin",0,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"29","A01",1,"Biofilm","WW30","phenicol",0.000771213961866,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"30","A01",1,"Biofilm","WW30","pleuromutilin",0.00027475347495,"read_count",75,43.9730431271968,8,5.76e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"31","A01",1,"Biofilm","WW30","polymyxin",0,"read_count",75,16.1863585883515,8,0.0398,"Kruskal-Wallis",0.06368,"Kruskal-Wallis: ns"
"32","A01",1,"Biofilm","WW30","polymyxin_peptide",0,"read_count",75,10.4752252252251,8,0.233,"Kruskal-Wallis",0.310666666666667,"Kruskal-Wallis: ns"
"33","A01",1,"Biofilm","WW30","polymyxin_peptide_polymyxin",0.000773211063191,"read_count",75,19.8166125765658,8,0.0111,"Kruskal-Wallis",0.019304347826087,"Kruskal-Wallis: *"
"34","A01",1,"Biofilm","WW30","polymyxin_peptide_peptide_polymyxin",0,"read_count",75,3.33665385555869,8,0.911,"Kruskal-Wallis",0.911,"Kruskal-Wallis: ns"
"35","A01",1,"Biofilm","WW30","rifamycin",0.0162032246675,"read_count",75,44.6556077694235,8,4.28e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"36","A01",1,"Biofilm","WW30","sulfonamide",0.00448246216907,"read_count",75,44.1620551378446,8,5.3e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"37","A01",1,"Biofilm","WW30","tetracenomycin_c",0,"read_count",75,19.4215759882666,8,0.0128,"Kruskal-Wallis",0.0213333333333333,"Kruskal-Wallis: *"
"38","A01",1,"Biofilm","WW30","tetracycline",0.00337362335257,"read_count",75,58.9842982456141,8,7.37e-10,"Kruskal-Wallis",2.948e-08,"Kruskal-Wallis: ****"
"39","A01",1,"Biofilm","WW30","triclosan",0.00087727302479,"read_count",75,50.5510229604296,8,3.2e-08,"Kruskal-Wallis",3.2e-07,"Kruskal-Wallis: ****"
"40","A01",1,"Biofilm","WW30","unclassified",0.0147609902614,"read_count",75,39.557343358396,8,3.87e-06,"Kruskal-Wallis",1.29e-05,"Kruskal-Wallis: ****"
"41","A02",1,"Biofilm","WW80","aminoglycoside",0.0520664017271,"read_count",75,43.8568295739349,8,6.06e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"42","A02",1,"Biofilm","WW80","aminoglycoside_aminocoumarin",0.000201092859648,"read_count",75,20.8802260564653,8,0.00747,"Kruskal-Wallis",0.0142285714285714,"Kruskal-Wallis: *"
"43","A02",1,"Biofilm","WW80","antibacterial_free_fatty_acids",0,"read_count",75,33.1654823357505,8,5.75e-05,"Kruskal-Wallis",0.00014375,"Kruskal-Wallis: ***"
"44","A02",1,"Biofilm","WW80","bacitracin",0.0826421675786,"read_count",75,6.53861528822057,8,0.587,"Kruskal-Wallis",0.73375,"Kruskal-Wallis: ns"
"45","A02",1,"Biofilm","WW80","beta_lactam",0.041750864849,"read_count",75,53.0412656641604,8,1.06e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"46","A02",1,"Biofilm","WW80","bicyclomycin",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"47","A02",1,"Biofilm","WW80","diaminopyrimidine",0.00648008849649,"read_count",75,21.4006685841667,8,0.00616,"Kruskal-Wallis",0.01232,"Kruskal-Wallis: *"
"48","A02",1,"Biofilm","WW80","fluoroquinolone",0.00166354166526,"read_count",75,33.4643859649123,8,5.08e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"49","A02",1,"Biofilm","WW80","fluoroquinolone_multidrug",0,"read_count",75,10.6418918918917,8,0.223,"Kruskal-Wallis",0.307586206896552,"Kruskal-Wallis: ns"
"50","A02",1,"Biofilm","WW80","fluoroquinolone_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"51","A02",1,"Biofilm","WW80","fluoroquinolone_multidrug_2",0,"read_count",75,13.7336280143845,8,0.089,"Kruskal-Wallis",0.127142857142857,"Kruskal-Wallis: ns"
"52","A02",1,"Biofilm","WW80","fluoroquinolone_multidrug_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"53","A02",1,"Biofilm","WW80","fosfomycin",0.000522155891246,"read_count",75,23.8674660476068,8,0.00241,"Kruskal-Wallis",0.00507368421052632,"Kruskal-Wallis: **"
"54","A02",1,"Biofilm","WW80","fosmidomycin",0.0169229450802,"read_count",75,20.0479573934837,8,0.0102,"Kruskal-Wallis",0.0185454545454545,"Kruskal-Wallis: *"
"55","A02",1,"Biofilm","WW80","fusidic_acid",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"56","A02",1,"Biofilm","WW80","glycopeptide",0.000770968430027,"read_count",75,50.0060401002506,8,4.08e-08,"Kruskal-Wallis",3.264e-07,"Kruskal-Wallis: ****"
"57","A02",1,"Biofilm","WW80","mls",0.0842411504543,"read_count",75,30.4295551378446,8,0.000177,"Kruskal-Wallis",0.000416470588235294,"Kruskal-Wallis: ***"
"58","A02",1,"Biofilm","WW80","multidrug",0.743962217469,"read_count",75,48.8275313283208,8,6.86e-08,"Kruskal-Wallis",4.57333333333333e-07,"Kruskal-Wallis: ****"
"59","A02",1,"Biofilm","WW80","multidrug_fluoroquinolone_multidrug",0.000290821002719,"read_count",75,14.4788998673242,8,0.0701,"Kruskal-Wallis",0.107846153846154,"Kruskal-Wallis: ns"
"60","A02",1,"Biofilm","WW80","mupirocin",0,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"61","A02",1,"Biofilm","WW80","nitroimidazole",0.00406599742118,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"62","A02",1,"Biofilm","WW80","nucleoside",0.000132039420775,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"63","A02",1,"Biofilm","WW80","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"64","A02",1,"Biofilm","WW80","peptide",0.00658244580092,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"65","A02",1,"Biofilm","WW80","peptide_polymyxin",0.0005899888318,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"66","A02",1,"Biofilm","WW80","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"67","A02",1,"Biofilm","WW80","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"68","A02",1,"Biofilm","WW80","peptide_polymyxin_peptide_polymyxin",0,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"69","A02",1,"Biofilm","WW80","phenicol",0.00164451623853,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"70","A02",1,"Biofilm","WW80","pleuromutilin",0.000212730177915,"read_count",75,43.9730431271968,8,5.76e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"71","A02",1,"Biofilm","WW80","polymyxin",0,"read_count",75,16.1863585883515,8,0.0398,"Kruskal-Wallis",0.06368,"Kruskal-Wallis: ns"
"72","A02",1,"Biofilm","WW80","polymyxin_peptide",0,"read_count",75,10.4752252252251,8,0.233,"Kruskal-Wallis",0.310666666666667,"Kruskal-Wallis: ns"
"73","A02",1,"Biofilm","WW80","polymyxin_peptide_polymyxin",0,"read_count",75,19.8166125765658,8,0.0111,"Kruskal-Wallis",0.019304347826087,"Kruskal-Wallis: *"
"74","A02",1,"Biofilm","WW80","polymyxin_peptide_peptide_polymyxin",0,"read_count",75,3.33665385555869,8,0.911,"Kruskal-Wallis",0.911,"Kruskal-Wallis: ns"
"75","A02",1,"Biofilm","WW80","rifamycin",0.0245871300369,"read_count",75,44.6556077694235,8,4.28e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"76","A02",1,"Biofilm","WW80","sulfonamide",0.00860542429954,"read_count",75,44.1620551378446,8,5.3e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"77","A02",1,"Biofilm","WW80","tetracenomycin_c",0,"read_count",75,19.4215759882666,8,0.0128,"Kruskal-Wallis",0.0213333333333333,"Kruskal-Wallis: *"
"78","A02",1,"Biofilm","WW80","tetracycline",0.0044376867432,"read_count",75,58.9842982456141,8,7.37e-10,"Kruskal-Wallis",2.948e-08,"Kruskal-Wallis: ****"
"79","A02",1,"Biofilm","WW80","triclosan",6.7905987827e-05,"read_count",75,50.5510229604296,8,3.2e-08,"Kruskal-Wallis",3.2e-07,"Kruskal-Wallis: ****"
"80","A02",1,"Biofilm","WW80","unclassified",0.0253710101759,"read_count",75,39.557343358396,8,3.87e-06,"Kruskal-Wallis",1.29e-05,"Kruskal-Wallis: ****"
"81","A03",1,"Biofilm","WW10","aminoglycoside",0.0202396231297,"read_count",75,43.8568295739349,8,6.06e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"82","A03",1,"Biofilm","WW10","aminoglycoside_aminocoumarin",0,"read_count",75,20.8802260564653,8,0.00747,"Kruskal-Wallis",0.0142285714285714,"Kruskal-Wallis: *"
"83","A03",1,"Biofilm","WW10","antibacterial_free_fatty_acids",0,"read_count",75,33.1654823357505,8,5.75e-05,"Kruskal-Wallis",0.00014375,"Kruskal-Wallis: ***"
"84","A03",1,"Biofilm","WW10","bacitracin",0.0761941082991,"read_count",75,6.53861528822057,8,0.587,"Kruskal-Wallis",0.73375,"Kruskal-Wallis: ns"
"85","A03",1,"Biofilm","WW10","beta_lactam",0.0136119000344,"read_count",75,53.0412656641604,8,1.06e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"86","A03",1,"Biofilm","WW10","bicyclomycin",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"87","A03",1,"Biofilm","WW10","diaminopyrimidine",0.00227140489341,"read_count",75,21.4006685841667,8,0.00616,"Kruskal-Wallis",0.01232,"Kruskal-Wallis: *"
"88","A03",1,"Biofilm","WW10","fluoroquinolone",0.00122839417397,"read_count",75,33.4643859649123,8,5.08e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"89","A03",1,"Biofilm","WW10","fluoroquinolone_multidrug",0,"read_count",75,10.6418918918917,8,0.223,"Kruskal-Wallis",0.307586206896552,"Kruskal-Wallis: ns"
"90","A03",1,"Biofilm","WW10","fluoroquinolone_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"91","A03",1,"Biofilm","WW10","fluoroquinolone_multidrug_2",0,"read_count",75,13.7336280143845,8,0.089,"Kruskal-Wallis",0.127142857142857,"Kruskal-Wallis: ns"
"92","A03",1,"Biofilm","WW10","fluoroquinolone_multidrug_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"93","A03",1,"Biofilm","WW10","fosfomycin",0.000641337852257,"read_count",75,23.8674660476068,8,0.00241,"Kruskal-Wallis",0.00507368421052632,"Kruskal-Wallis: **"
"94","A03",1,"Biofilm","WW10","fosmidomycin",0.0102418526528,"read_count",75,20.0479573934837,8,0.0102,"Kruskal-Wallis",0.0185454545454545,"Kruskal-Wallis: *"
"95","A03",1,"Biofilm","WW10","fusidic_acid",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"96","A03",1,"Biofilm","WW10","glycopeptide",9.45203166536e-05,"read_count",75,50.0060401002506,8,4.08e-08,"Kruskal-Wallis",3.264e-07,"Kruskal-Wallis: ****"
"97","A03",1,"Biofilm","WW10","mls",0.0218455705925,"read_count",75,30.4295551378446,8,0.000177,"Kruskal-Wallis",0.000416470588235294,"Kruskal-Wallis: ***"
"98","A03",1,"Biofilm","WW10","multidrug",0.565622011739,"read_count",75,48.8275313283208,8,6.86e-08,"Kruskal-Wallis",4.57333333333333e-07,"Kruskal-Wallis: ****"
"99","A03",1,"Biofilm","WW10","multidrug_fluoroquinolone_multidrug",0.000319654151046,"read_count",75,14.4788998673242,8,0.0701,"Kruskal-Wallis",0.107846153846154,"Kruskal-Wallis: ns"
"100","A03",1,"Biofilm","WW10","mupirocin",2.11378442516e-05,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"101","A03",1,"Biofilm","WW10","nitroimidazole",0.00282651476124,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"102","A03",1,"Biofilm","WW10","nucleoside",0,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"103","A03",1,"Biofilm","WW10","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"104","A03",1,"Biofilm","WW10","peptide",0.00344264765757,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"105","A03",1,"Biofilm","WW10","peptide_polymyxin",0,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"106","A03",1,"Biofilm","WW10","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"107","A03",1,"Biofilm","WW10","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"108","A03",1,"Biofilm","WW10","peptide_polymyxin_peptide_polymyxin",0.000850111730145,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"109","A03",1,"Biofilm","WW10","phenicol",0.000803656652736,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"110","A03",1,"Biofilm","WW10","pleuromutilin",0.000133612052554,"read_count",75,43.9730431271968,8,5.76e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"111","A03",1,"Biofilm","WW10","polymyxin",0,"read_count",75,16.1863585883515,8,0.0398,"Kruskal-Wallis",0.06368,"Kruskal-Wallis: ns"
"112","A03",1,"Biofilm","WW10","polymyxin_peptide",0,"read_count",75,10.4752252252251,8,0.233,"Kruskal-Wallis",0.310666666666667,"Kruskal-Wallis: ns"
"113","A03",1,"Biofilm","WW10","polymyxin_peptide_polymyxin",0,"read_count",75,19.8166125765658,8,0.0111,"Kruskal-Wallis",0.019304347826087,"Kruskal-Wallis: *"
"114","A03",1,"Biofilm","WW10","polymyxin_peptide_peptide_polymyxin",0,"read_count",75,3.33665385555869,8,0.911,"Kruskal-Wallis",0.911,"Kruskal-Wallis: ns"
"115","A03",1,"Biofilm","WW10","rifamycin",0.00360752541895,"read_count",75,44.6556077694235,8,4.28e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
"116","A03",1,"Biofilm","WW10","sulfonamide",0.00114726956786,"read_count",75,44.1620551378446,8,5.3e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"117","A03",1,"Biofilm","WW10","tetracenomycin_c",0,"read_count",75,19.4215759882666,8,0.0128,"Kruskal-Wallis",0.0213333333333333,"Kruskal-Wallis: *"
"118","A03",1,"Biofilm","WW10","tetracycline",0.00156094849858,"read_count",75,58.9842982456141,8,7.37e-10,"Kruskal-Wallis",2.948e-08,"Kruskal-Wallis: ****"
"119","A03",1,"Biofilm","WW10","triclosan",0.000234578007537,"read_count",75,50.5510229604296,8,3.2e-08,"Kruskal-Wallis",3.2e-07,"Kruskal-Wallis: ****"
"120","A03",1,"Biofilm","WW10","unclassified",0.0200516443532,"read_count",75,39.557343358396,8,3.87e-06,"Kruskal-Wallis",1.29e-05,"Kruskal-Wallis: ****"
"121","A05",1,"Biofilm","WW10","aminoglycoside",0.0183668897064,"read_count",75,43.8568295739349,8,6.06e-07,"Kruskal-Wallis",2.20363636363636e-06,"Kruskal-Wallis: ****"
"122","A05",1,"Biofilm","WW10","aminoglycoside_aminocoumarin",0.000340694318526,"read_count",75,20.8802260564653,8,0.00747,"Kruskal-Wallis",0.0142285714285714,"Kruskal-Wallis: *"
"123","A05",1,"Biofilm","WW10","antibacterial_free_fatty_acids",5.10817925086e-05,"read_count",75,33.1654823357505,8,5.75e-05,"Kruskal-Wallis",0.00014375,"Kruskal-Wallis: ***"
"124","A05",1,"Biofilm","WW10","bacitracin",0.0560814463395,"read_count",75,6.53861528822057,8,0.587,"Kruskal-Wallis",0.73375,"Kruskal-Wallis: ns"
"125","A05",1,"Biofilm","WW10","beta_lactam",0.0156970033568,"read_count",75,53.0412656641604,8,1.06e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"126","A05",1,"Biofilm","WW10","bicyclomycin",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"127","A05",1,"Biofilm","WW10","diaminopyrimidine",0.00399223855298,"read_count",75,21.4006685841667,8,0.00616,"Kruskal-Wallis",0.01232,"Kruskal-Wallis: *"
"128","A05",1,"Biofilm","WW10","fluoroquinolone",0.000660164692225,"read_count",75,33.4643859649123,8,5.08e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"129","A05",1,"Biofilm","WW10","fluoroquinolone_multidrug",0,"read_count",75,10.6418918918917,8,0.223,"Kruskal-Wallis",0.307586206896552,"Kruskal-Wallis: ns"
"130","A05",1,"Biofilm","WW10","fluoroquinolone_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"131","A05",1,"Biofilm","WW10","fluoroquinolone_multidrug_2",0,"read_count",75,13.7336280143845,8,0.089,"Kruskal-Wallis",0.127142857142857,"Kruskal-Wallis: ns"
"132","A05",1,"Biofilm","WW10","fluoroquinolone_multidrug_fluoroquinolone_multidrug",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"133","A05",1,"Biofilm","WW10","fosfomycin",0,"read_count",75,23.8674660476068,8,0.00241,"Kruskal-Wallis",0.00507368421052632,"Kruskal-Wallis: **"
"134","A05",1,"Biofilm","WW10","fosmidomycin",0.00829119787284,"read_count",75,20.0479573934837,8,0.0102,"Kruskal-Wallis",0.0185454545454545,"Kruskal-Wallis: *"
"135","A05",1,"Biofilm","WW10","fusidic_acid",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"136","A05",1,"Biofilm","WW10","glycopeptide",0.000339950444468,"read_count",75,50.0060401002506,8,4.08e-08,"Kruskal-Wallis",3.264e-07,"Kruskal-Wallis: ****"
"137","A05",1,"Biofilm","WW10","mls",0.0210534089728,"read_count",75,30.4295551378446,8,0.000177,"Kruskal-Wallis",0.000416470588235294,"Kruskal-Wallis: ***"
"138","A05",1,"Biofilm","WW10","multidrug",0.395616832746,"read_count",75,48.8275313283208,8,6.86e-08,"Kruskal-Wallis",4.57333333333333e-07,"Kruskal-Wallis: ****"
"139","A05",1,"Biofilm","WW10","multidrug_fluoroquinolone_multidrug",0.00027372943665,"read_count",75,14.4788998673242,8,0.0701,"Kruskal-Wallis",0.107846153846154,"Kruskal-Wallis: ns"
"140","A05",1,"Biofilm","WW10","mupirocin",0.000101365432009,"read_count",75,14.1325422032091,8,0.0784,"Kruskal-Wallis",0.116148148148148,"Kruskal-Wallis: ns"
"141","A05",1,"Biofilm","WW10","nitroimidazole",0.00236310340464,"read_count",75,34.5096240601504,8,3.28e-05,"Kruskal-Wallis",0.000100923076923077,"Kruskal-Wallis: ***"
"142","A05",1,"Biofilm","WW10","nucleoside",0,"read_count",75,33.3902986535149,8,5.24e-05,"Kruskal-Wallis",0.000139733333333333,"Kruskal-Wallis: ***"
"143","A05",1,"Biofilm","WW10","oxazolidinone",0,"read_count",75,28.1137249194707,8,0.000453,"Kruskal-Wallis",0.00100666666666667,"Kruskal-Wallis: **"
"144","A05",1,"Biofilm","WW10","peptide",0.00332078343987,"read_count",75,52.6050438596491,8,1.29e-08,"Kruskal-Wallis",1.72e-07,"Kruskal-Wallis: ****"
"145","A05",1,"Biofilm","WW10","peptide_polymyxin",0,"read_count",75,7.20043337510444,8,0.515,"Kruskal-Wallis",0.664516129032258,"Kruskal-Wallis: ns"
"146","A05",1,"Biofilm","WW10","peptide_peptide_polymyxin",0,"read_count",75,4.21163003662982,8,0.838,"Kruskal-Wallis",0.859487179487179,"Kruskal-Wallis: ns"
"147","A05",1,"Biofilm","WW10","peptide_polymyxin_2",0,"read_count",75,5.24999999999992,8,0.731,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"148","A05",1,"Biofilm","WW10","peptide_polymyxin_peptide_polymyxin",0,"read_count",75,5.9934916753988,8,0.648,"Kruskal-Wallis",0.769473684210526,"Kruskal-Wallis: ns"
"149","A05",1,"Biofilm","WW10","phenicol",0.000764828859624,"read_count",75,44.6640100250627,8,4.26e-07,"Kruskal-Wallis",2.14e-06,"Kruskal-Wallis: ****"
