"","sample","sample_perc","args","read_count","p.adj","lab","sample_type","experiment"
"28","A02","WW80","beta_lactam",0.041750864849,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"29","A02","WW80","diaminopyrimidine",0.00648008849649,0.01232,"Kruskal-Wallis: *","Biofilm",1
"30","A02","WW80","fluoroquinolone",0.00166354166526,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"31","A02","WW80","fosfomycin",0.000522155891246,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"32","A02","WW80","fosmidomycin",0.0169229450802,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"33","A02","WW80","glycopeptide",0.000770968430027,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"34","A02","WW80","mls",0.0842411504543,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"35","A02","WW80","multidrug",0.743962217469,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"36","A02","WW80","nitroimidazole",0.00406599742118,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"37","A02","WW80","nucleoside",0.000132039420775,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"38","A02","WW80","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"39","A02","WW80","peptide",0.00658244580092,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"40","A02","WW80","phenicol",0.00164451623853,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"41","A02","WW80","pleuromutilin",0.000212730177915,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"42","A02","WW80","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"43","A02","WW80","rifamycin",0.0245871300369,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"44","A02","WW80","sulfonamide",0.00860542429954,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"45","A02","WW80","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"46","A02","WW80","tetracycline",0.0044376867432,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"47","A02","WW80","triclosan",6.7905987827e-05,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"48","A02","WW80","unclassified",0.0253710101759,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"49","A03","WW10","aminoglycoside",0.0202396231297,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"50","A03","WW10","aminoglycoside_aminocoumarin",0,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"51","A03","WW10","antibacterial_free_fatty_acids",0,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"52","A03","WW10","beta_lactam",0.0136119000344,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"53","A03","WW10","diaminopyrimidine",0.00227140489341,0.01232,"Kruskal-Wallis: *","Biofilm",1
"54","A03","WW10","fluoroquinolone",0.00122839417397,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"55","A03","WW10","fosfomycin",0.000641337852257,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"56","A03","WW10","fosmidomycin",0.0102418526528,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"57","A03","WW10","glycopeptide",9.45203166536e-05,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"58","A03","WW10","mls",0.0218455705925,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"59","A03","WW10","multidrug",0.565622011739,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"60","A03","WW10","nitroimidazole",0.00282651476124,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"61","A03","WW10","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"62","A03","WW10","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"63","A03","WW10","peptide",0.00344264765757,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"64","A03","WW10","phenicol",0.000803656652736,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"65","A03","WW10","pleuromutilin",0.000133612052554,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"66","A03","WW10","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"67","A03","WW10","rifamycin",0.00360752541895,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"68","A03","WW10","sulfonamide",0.00114726956786,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"69","A03","WW10","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"70","A03","WW10","tetracycline",0.00156094849858,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"71","A03","WW10","triclosan",0.000234578007537,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"72","A03","WW10","unclassified",0.0200516443532,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"73","A05","WW10","aminoglycoside",0.0183668897064,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"74","A05","WW10","aminoglycoside_aminocoumarin",0.000340694318526,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"75","A05","WW10","antibacterial_free_fatty_acids",5.10817925086e-05,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"76","A05","WW10","beta_lactam",0.0156970033568,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"77","A05","WW10","diaminopyrimidine",0.00399223855298,0.01232,"Kruskal-Wallis: *","Biofilm",1
"78","A05","WW10","fluoroquinolone",0.000660164692225,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"79","A05","WW10","fosfomycin",0,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"80","A05","WW10","fosmidomycin",0.00829119787284,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"81","A05","WW10","glycopeptide",0.000339950444468,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"82","A05","WW10","mls",0.0210534089728,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"83","A05","WW10","multidrug",0.395616832746,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"84","A05","WW10","nitroimidazole",0.00236310340464,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"85","A05","WW10","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"86","A05","WW10","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"87","A05","WW10","peptide",0.00332078343987,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"88","A05","WW10","phenicol",0.000764828859624,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"89","A05","WW10","pleuromutilin",0.000120136808307,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"90","A05","WW10","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"91","A05","WW10","rifamycin",0.00397893109114,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"92","A05","WW10","sulfonamide",0.00210897407657,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"93","A05","WW10","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"94","A05","WW10","tetracycline",0.00070451268582,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"95","A05","WW10","triclosan",0.000215348967588,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"96","A05","WW10","unclassified",0.01019023448,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"97","A06","WW30","aminoglycoside",0.0377333929402,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"98","A06","WW30","aminoglycoside_aminocoumarin",5.43393603096e-05,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"99","A06","WW30","antibacterial_free_fatty_acids",0,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"100","A06","WW30","beta_lactam",0.0309985439085,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"101","A06","WW30","diaminopyrimidine",0.006049085456,0.01232,"Kruskal-Wallis: *","Biofilm",1
"102","A06","WW30","fluoroquinolone",0.00208967273864,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"103","A06","WW30","fosfomycin",0.00112877671189,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"104","A06","WW30","fosmidomycin",0.0243485396096,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"105","A06","WW30","glycopeptide",0.000975972877526,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"106","A06","WW30","mls",0.0638997743485,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"107","A06","WW30","multidrug",0.989838160823,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"108","A06","WW30","nitroimidazole",0.0052482298666,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"109","A06","WW30","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"110","A06","WW30","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"111","A06","WW30","peptide",0.00432597670699,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"112","A06","WW30","phenicol",0.000553212348895,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"113","A06","WW30","pleuromutilin",0.000191613330721,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"114","A06","WW30","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"115","A06","WW30","rifamycin",0.00980253460322,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"116","A06","WW30","sulfonamide",0.00394872418646,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"117","A06","WW30","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"118","A06","WW30","tetracycline",0.00194293106398,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"119","A06","WW30","triclosan",0.000824334860133,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"120","A06","WW30","unclassified",0.0304700462104,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"121","A07","WW00","aminoglycoside",0.0291954599626,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"122","A07","WW00","aminoglycoside_aminocoumarin",0.000177586553107,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"123","A07","WW00","antibacterial_free_fatty_acids",0,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"124","A07","WW00","beta_lactam",0.0208052106042,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"125","A07","WW00","diaminopyrimidine",0.00749142044028,0.01232,"Kruskal-Wallis: *","Biofilm",1
"126","A07","WW00","fluoroquinolone",0.00215995292538,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"127","A07","WW00","fosfomycin",0.000601163368664,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"128","A07","WW00","fosmidomycin",0.0213779558905,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"129","A07","WW00","glycopeptide",0.000108935643986,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"130","A07","WW00","mls",0.0340408757506,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"131","A07","WW00","multidrug",0.802600557433,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"132","A07","WW00","nitroimidazole",0.00370923996026,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"133","A07","WW00","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"134","A07","WW00","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"135","A07","WW00","peptide",0.00391690355744,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"136","A07","WW00","phenicol",0.000602651396805,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"137","A07","WW00","pleuromutilin",0.00017533931586,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"138","A07","WW00","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"139","A07","WW00","rifamycin",0.00797332467913,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"140","A07","WW00","sulfonamide",0.00103238656244,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"141","A07","WW00","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"142","A07","WW00","tetracycline",0.000850216764254,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"143","A07","WW00","triclosan",0.000673502529209,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"144","A07","WW00","unclassified",0.0265002627819,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"145","A08","WW80","aminoglycoside",0.0895204754279,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"146","A08","WW80","aminoglycoside_aminocoumarin",0.0001069738909,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"147","A08","WW80","antibacterial_free_fatty_acids",0.00050924029314,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"148","A08","WW80","beta_lactam",0.0781260639373,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"149","A08","WW80","diaminopyrimidine",0.00168130128529,0.01232,"Kruskal-Wallis: *","Biofilm",1
"150","A08","WW80","fluoroquinolone",0.00191338818558,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"151","A08","WW80","fosfomycin",0.00108637929203,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"152","A08","WW80","fosmidomycin",0.0710651039325,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"153","A08","WW80","glycopeptide",0.00120303747104,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"154","A08","WW80","mls",0.108876693883,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"155","A08","WW80","multidrug",1.56009784122,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"156","A08","WW80","nitroimidazole",0.0093238222744,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"157","A08","WW80","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"158","A08","WW80","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"159","A08","WW80","peptide",0.0138257327646,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"160","A08","WW80","phenicol",0.00350922023788,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"161","A08","WW80","pleuromutilin",0.000528101044738,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"162","A08","WW80","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"163","A08","WW80","rifamycin",0.029375124278,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"164","A08","WW80","sulfonamide",0.0127831909628,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"165","A08","WW80","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"166","A08","WW80","tetracycline",0.00836697987751,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"167","A08","WW80","triclosan",0.000557839989166,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"168","A08","WW80","unclassified",0.0370394368317,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"169","A09","WW00","aminoglycoside",0.0392071341499,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"170","A09","WW00","aminoglycoside_aminocoumarin",0.000230442419944,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"171","A09","WW00","antibacterial_free_fatty_acids",0.000182833656101,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"172","A09","WW00","beta_lactam",0.0400008242392,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"173","A09","WW00","diaminopyrimidine",0.00900104153113,0.01232,"Kruskal-Wallis: *","Biofilm",1
"174","A09","WW00","fluoroquinolone",0.0023356910118,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"175","A09","WW00","fosfomycin",0.00130015044339,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"176","A09","WW00","fosmidomycin",0.0486747786116,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"177","A09","WW00","glycopeptide",0.000306585694074,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"178","A09","WW00","mls",0.0570441007036,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"179","A09","WW00","multidrug",1.35019768183,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"180","A09","WW00","nitroimidazole",0.00530783067609,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"181","A09","WW00","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"182","A09","WW00","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"183","A09","WW00","peptide",0.00940866725666,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"184","A09","WW00","phenicol",0.000960742748691,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"185","A09","WW00","pleuromutilin",8.12594027116e-05,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"186","A09","WW00","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"187","A09","WW00","rifamycin",0.0074888665539,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"188","A09","WW00","sulfonamide",0.0017365967053,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"189","A09","WW00","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"190","A09","WW00","tetracycline",0.00360481809975,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"191","A09","WW00","triclosan",0.00043698002454,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"192","A09","WW00","unclassified",0.0503947883516,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"193","A10","WW80","aminoglycoside",0.074552841875,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"194","A10","WW80","aminoglycoside_aminocoumarin",0.000158670565225,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"195","A10","WW80","antibacterial_free_fatty_acids",4.75803466587e-05,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"196","A10","WW80","beta_lactam",0.0562126415515,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"197","A10","WW80","diaminopyrimidine",0.00223803852802,0.01232,"Kruskal-Wallis: *","Biofilm",1
"198","A10","WW80","fluoroquinolone",0.00231774948929,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"199","A10","WW80","fosfomycin",0.00143234465793,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"200","A10","WW80","fosmidomycin",0.0626083090268,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"201","A10","WW80","glycopeptide",0.0001081468282,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"202","A10","WW80","mls",0.0785330178865,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"203","A10","WW80","multidrug",1.47707009104,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"204","A10","WW80","nitroimidazole",0.00660336728577,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"205","A10","WW80","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"206","A10","WW80","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"207","A10","WW80","peptide",0.0125992054361,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"208","A10","WW80","phenicol",0.00173503382915,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"209","A10","WW80","pleuromutilin",0.000559509632005,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"210","A10","WW80","polymyxin_peptide_polymyxin",0.000657212522428,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"211","A10","WW80","rifamycin",0.0218385443734,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"212","A10","WW80","sulfonamide",0.00965124459221,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"213","A10","WW80","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"214","A10","WW80","tetracycline",0.00697348728633,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"215","A10","WW80","triclosan",0.000666781133866,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"216","A10","WW80","unclassified",0.0332965323863,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"217","A11","WW30","aminoglycoside",0.0380132566853,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"218","A11","WW30","aminoglycoside_aminocoumarin",0.000184977890007,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"219","A11","WW30","antibacterial_free_fatty_acids",0.00011007147882,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"220","A11","WW30","beta_lactam",0.0306074622483,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"221","A11","WW30","diaminopyrimidine",0.00568984875129,0.01232,"Kruskal-Wallis: *","Biofilm",1
"222","A11","WW30","fluoroquinolone",0.00177837598656,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"223","A11","WW30","fosfomycin",0.000160103969192,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"224","A11","WW30","fosmidomycin",0.0334015929483,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"225","A11","WW30","glycopeptide",0.000276861012227,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"226","A11","WW30","mls",0.0557478067542,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"227","A11","WW30","multidrug",1.15512485815,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"228","A11","WW30","nitroimidazole",0.00530158710356,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"229","A11","WW30","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"230","A11","WW30","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"231","A11","WW30","peptide",0.00438412358192,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"232","A11","WW30","phenicol",0.00183089192492,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"233","A11","WW30","pleuromutilin",0.000228296400515,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"234","A11","WW30","polymyxin_peptide_polymyxin",0,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"235","A11","WW30","rifamycin",0.0114937796831,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"236","A11","WW30","sulfonamide",0.00418193830483,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"237","A11","WW30","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"238","A11","WW30","tetracycline",0.00268692822625,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"239","A11","WW30","triclosan",0.00157845240996,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"240","A11","WW30","unclassified",0.0390260791653,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"241","A12","WW10","aminoglycoside",0.0305848048876,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"242","A12","WW10","aminoglycoside_aminocoumarin",0.000137879289907,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"243","A12","WW10","antibacterial_free_fatty_acids",4.10226793539e-05,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"244","A12","WW10","beta_lactam",0.0499197912182,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"245","A12","WW10","diaminopyrimidine",0.00504894515125,0.01232,"Kruskal-Wallis: *","Biofilm",1
"246","A12","WW10","fluoroquinolone",0.00160301538422,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"247","A12","WW10","fosfomycin",0.000236882840179,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"248","A12","WW10","fosmidomycin",0.0446454822174,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"249","A12","WW10","glycopeptide",0.000135799214413,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
